,Team,Game,Date,Home,Opponent,WINorLOSS,OPTotalNumberPossession,OPOffensiveRating,OPDefensiveRating,OPPDelta,FavDelta,defensiverating,TotalNumberPossession,offensiverating,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1306,BOS,1,10/17/2017,Away,CLE,L,101,100.99,98.02,2.97,2.94,97.06,99,100,99,102,36,88,0.409,8,32,0.25,19,25,0.76,9,46,24,11,4,10,24,38,83,0.458,5,22,0.227,21,25,0.84,9,50,19,3,4,17,25
2306,BOS,2,10/18/2017,Home,MIL,L,97,111.34,103.09,8.25,6.64,92.96,100.4,99.6,100,108,39,91,0.429,11,28,0.393,11,21,0.524,11,43,23,12,2,12,27,38,76,0.5,7,21,0.333,25,30,0.833,6,45,19,6,4,15,22
3306,BOS,3,10/20/2017,Away,PHI,W,100.4,91.63,101.59,-9.96,-10.46,110.65,101.8,100.2,102,92,35,84,0.417,10,29,0.345,22,32,0.688,14,55,16,4,5,19,24,35,92,0.38,10,32,0.313,12,16,0.75,14,47,20,7,4,16,30
4306,BOS,4,10/24/2017,Home,NYK,W,98,90.82,112.24,-21.43,14.26,104.27,92.8,118.53,110,89,37,75,0.493,14,29,0.483,22,27,0.815,5,41,26,11,7,12,24,36,85,0.424,1,12,0.083,16,25,0.64,11,43,20,8,2,14,17
5306,BOS,5,10/26/2017,Away,MIL,W,96.6,92.13,99.38,-7.25,-7.43,107.64,95.8,100.21,96,89,33,78,0.423,11,30,0.367,19,22,0.864,6,45,21,7,4,15,14,35,77,0.455,11,25,0.44,8,14,0.571,2,37,22,6,3,16,20
6306,BOS,6,10/28/2017,Away,MIA,W,98.4,91.46,97.56,-6.1,1.23,102.67,92.4,103.9,96,90,34,81,0.42,6,23,0.261,22,26,0.846,11,41,15,11,5,12,14,34,79,0.43,7,31,0.226,15,16,0.938,6,40,17,6,9,19,23
7306,BOS,7,10/30/2017,Home,SAS,W,94,100,114.89,-14.89,18.59,98.3,92.4,116.88,108,94,42,88,0.477,11,31,0.355,13,16,0.813,15,54,24,10,6,13,22,36,87,0.414,12,26,0.462,10,20,0.5,12,40,24,8,4,11,14
8192,BOS,8,11/1/2017,Home,SAC,W,93.8,91.68,120.47,-28.78,21.93,104.19,89.6,126.12,113,86,40,82,0.488,17,41,0.415,16,19,0.842,16,52,30,10,3,16,19,35,81,0.432,6,20,0.3,10,12,0.833,7,26,24,10,5,15,18
991,BOS,9,11/3/2017,Away,OKC,W,93.6,100.43,107.91,-7.48,10.56,98.51,92.6,109.07,101,94,36,84,0.429,13,28,0.464,16,24,0.667,11,49,23,6,2,10,14,35,87,0.402,13,35,0.371,11,14,0.786,11,48,20,4,7,12,18
1091,BOS,10,11/5/2017,Away,ORL,W,101.2,86.96,102.77,-15.81,-11.8,114.77,101,102.97,104,88,39,89,0.438,11,33,0.333,15,20,0.75,9,54,26,10,1,13,21,33,91,0.363,6,29,0.207,16,18,0.889,10,45,18,4,4,13,19
